file,line,raw,context
src/components/study/MidpointStep.jsx,613,700,"fontSize: 11, fontWeight: 700, textTransform: 'uppercase', letterSpacing: '0.05em',"
src/components/study/MoodCheckinStep.jsx,129,direction,"fontWeight:  direction === d.value ? 600 : 400,"
src/components/study/MoodCheckinStep.jsx,168,400,"heading:   { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 26, fontWeight: 400, color: 'var(--tx)', margin: '0 0 6px' },"
src/components/study/MoodCheckinStep.jsx,171,600,"ratingBtn: { flex: 1, aspectRatio: '1 / 1', minWidth: 0, border: '1.5px solid', borderRadius: 10, fontSize: 17, fontWeight: 600, cursor: 'po"
src/components/study/MoodCheckinStep.jsx,173,500,"qLabel:    { fontSize: 15, fontWeight: 500, color: 'var(--tx)', fontFamily: '""DM Sans"",system-ui,sans-serif', margin: '0 0 10px', display: '"
src/components/study/MoodCheckinStep.jsx,179,500,"btn:       { display: 'block', width: '100%', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '13px 20px',"
src/components/study/PhysioSetupStep.jsx,326,600,"fontFamily: 'DM Sans', fontSize: 'var(--fs-body)', fontWeight: 600,"
src/components/study/SessionDemoModal.jsx,116,600,"doneTitle: { fontSize: 20, fontWeight: 600, color: 'var(--tx)', margin: '0 0 8px' },"
src/components/study/SessionDemoModal.jsx,120,600,"padding: '11px 26px', fontSize: 14, fontWeight: 600, cursor: 'pointer', fontFamily: 'DM Sans',"
src/components/study/StepDispatcher.jsx,265,600,"title:{ fontSize: 18, fontWeight: 600, color: 'var(--tx)', margin: '10px 0 8px' },"
src/components/study/StepDispatcher.jsx,267,600,"btn:  { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 10, padding: '11px 28px', fontSize: 14, fontWeight: 600, curso"
src/components/study/VasStepWrapper.jsx,286,500,"prompt:    { fontSize: 18, fontWeight: 500, color: 'var(--tx)', margin: '0 0 24px', lineHeight: 1.5 },"
src/components/study/VasStepWrapper.jsx,290,700,"val:       { fontSize: 28, fontWeight: 700, color: 'var(--pk)' },"
src/components/study/VasStepWrapper.jsx,291,400,"valEmpty:  { fontSize: 28, fontWeight: 400, color: '#c0bdb8' },"
src/components/study/VasStepWrapper.jsx,292,500,"btn:       { background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 10, padding: '13px 32px', fontSize: 15, fontWeight: 500, "
src/components/study/VideoStepWrapper.jsx,86,600,"heading: { fontSize: 20, fontWeight: 600, color: 'var(--tx)', margin: '0 0 16px' },"
src/components/study/VideoStepWrapper.jsx,93,500,"padding: '13px 32px', fontSize: 15, fontWeight: 500,"
src/components/study/WellnessTipStep.jsx,118,500,"btn:     { display: 'block', width: '100%', background: 'var(--pk)', color: '#fff', border: 'none', borderRadius: 9, padding: '13px 20px', f"
src/components/vas/VasRenderer.jsx,139,400,"fontSize: '1.25rem', fontWeight: 400,"
src/components/vas/VasRenderer.jsx,180,500,"padding: '13px', fontSize: 15, fontWeight: 500,"
src/components/video/StudyVideoPlayer.css,89,600,font-weight: 600;
src/components/video/StudyVideoPlayer.css,191,600,font-weight: 600;
src/games/AptitudeSuite/AptitudeSuite.jsx,245,400,"fontWeight: '400',"
src/games/AptitudeSuite/AptitudeSuite.jsx,319,500,"fontWeight: '500',"
src/games/AptitudeSuite/components/PercentileGauge.jsx,70,700,"fontWeight=""700"""
src/games/AptitudeSuite/components/SessionComplete.jsx,73,700,"fontWeight: '700',"
src/games/AptitudeSuite/components/SessionTimer.jsx,13,700,"fontWeight: '700',"
src/games/AptitudeSuite/components/WordProbeBox.jsx,17,700,"fontWeight: '700',"
src/games/BreathBelt/BreathBelt.jsx,839,600,"fontFamily: 'DM Sans', fontSize: 'var(--fs-body-sm)', fontWeight: 600,"
src/games/BreathBelt/BreathBelt.jsx,862,600,"fontFamily: 'DM Sans', fontSize: 'var(--fs-body)', fontWeight: 600,"
src/games/BreathBelt/BreathBeltDemo.jsx,475,600,"? <span style={{ color: '#2ecc71', fontWeight: 600 }}>Correct ✓</span>"
src/games/BreathBelt/BreathBeltDemo.jsx,476,600,": <span style={{ color: '#e67e22', fontWeight: 600 }}>Not this time</span>}"
src/games/BreathBelt/BreathBeltDemo.jsx,634,400,"h1: { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 30, fontWeight: 400, color: 'var(--tx)', margin: 0, textAlign: 'center' },"
src/games/BreathBelt/BreathBeltDemo.jsx,635,400,"h2: { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 22, fontWeight: 400, color: 'var(--tx)', margin: 0, textAlign: 'center' },"
src/games/BreathBelt/BreathBeltDemo.jsx,641,500,"padding: '13px 32px', fontSize: 15, fontWeight: 500,"
src/games/BreathBelt/BreathBeltDemo.jsx,645,500,"padding: '12px 20px', borderRadius: 12, fontWeight: 500, minWidth: 84,"
src/games/BreathBelt/BreathBeltDemo.jsx,656,600,"chipValue: { fontSize: 17, fontWeight: 600, color: 'var(--tx)' },"
src/games/BreathBelt/components/BaselineScreen.jsx,103,600,"<p style={{ color: 'var(--tx)', fontSize: 'var(--fs-body)', marginBottom: 8, fontWeight: 600 }}>"
src/games/BreathBelt/components/BaselineScreen.jsx,111,tw:font-medium (500),"<button onClick={onStart} className=""px-6 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/CalibrationScreen.jsx,179,tw:font-medium (500),"className=""px-6 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/CalibrationScreen.jsx,200,tw:font-medium (500),"className=""px-5 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/CalibReviewPanel.jsx,91,tw:font-medium (500),"className=""px-5 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/FixedTrialsScreen.jsx,154,tw:font-medium (500),"className=""px-6 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/Phase2ReviewScreen.jsx,69,tw:font-medium (500),"className=""px-6 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/SessionComplete.jsx,53,tw:font-medium (500),"className=""px-6 py-3 rounded-xl font-medium w-full"""
src/games/BreathBelt/components/StaircaseScreen.jsx,175,tw:font-medium (500),"<button onClick={startTrial} className=""px-6 py-3 rounded-xl font-medium"""
src/games/BreathBelt/components/StaircaseScreen.jsx,190,tw:font-medium (500),"<p className=""text-center font-medium"" style={{ color: 'var(--tx)', fontSize: 'var(--fs-body)' }}>"
src/games/BreathBelt/components/StaircaseScreen.jsx,199,tw:font-medium (500),"className=""px-5 py-3 rounded-xl font-medium capitalize"""
src/games/BreathBelt/components/StaircaseScreen.jsx,222,tw:font-medium (500),"className=""px-6 py-3 rounded-xl font-medium w-full"""
src/games/BreathBelt/PacerOpenerDemo.jsx,221,400,"title:    { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 'clamp(28px, 5vw, 52px)', fontWeight: 400, color: 'var(--tx)', margin:"
src/games/BreathBelt/PacerOpenerDemo.jsx,222,400,"pollQ:    { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 'clamp(26px, 4.5vw, 48px)', fontWeight: 400, color: 'var(--tx)', margi"
src/games/BreathBelt/PacerOpenerDemo.jsx,227,500,"opt:      { fontSize: 'clamp(18px, 2.6vw, 30px)', fontWeight: 500, color: 'var(--pk)', background: '#fff', border: '1.5px solid var(--pkb, #"
src/games/BreathBelt/PacerOpenerDemo.jsx,232,500,"fontSize: 'clamp(16px, 2vw, 20px)', fontWeight: 500, cursor: 'pointer',"
src/games/ColorMax/ColorMax.css,74,600,font-weight: 600;
src/games/ColorMax/ColorMax.css,182,700,font-weight: 700;
src/games/ColorMax/ColorMax.css,240,700,font-weight: 700;
src/games/ColorMax/ColorMax.css,278,600,font-weight: 600;
src/games/ColorMax/ColorMax.css,286,700,font-weight: 700;
src/games/Drift/Drift.jsx,159,700,"<div style={{ background: '#F4E0F0', borderRadius: '50%', width: 28, height: 28, display: 'flex', alignItems: 'center', justifyContent: 'cen"
src/games/Drift/Drift.jsx,161,500,"<div style={{ fontSize: 13, fontWeight: 500, color: '#1c1c1e', marginBottom: 2 }}>{title}</div>"
src/games/Drift/Drift.jsx,311,700,"ratio <span style={{ color: '#1c1c1e', fontWeight: 700 }}>{ratio.toFixed(2)}&times;</span>"
src/games/Drift/Drift.jsx,347,500,<span style={{ fontWeight: 500 }}>{(r.targetMs / 1000).toFixed(0)}s</span>
src/games/Drift/Drift.jsx,353,700,"<div style={{ fontFamily: 'Space Mono,monospace', fontSize: 13, fontWeight: 700, color, width: 40, textAlign: 'right' }}>"
src/games/Drift/Drift.jsx,571,400,"h1:         { fontFamily: 'DM Serif Display,serif', fontSize: 28, color: '#1c1c1e', fontWeight: 400, margin: '0 0 8px' },"
src/games/Drift/Drift.jsx,574,400,"phase:      { fontFamily: 'DM Serif Display,serif', fontSize: 22, color: '#1c1c1e', fontWeight: 400, margin: 0 },"
src/games/Drift/Drift.jsx,577,500,"btnPrimary: { background: '#f068a4', color: 'white', border: 'none', borderRadius: 12, padding: 14, fontFamily: 'DM Sans,sans-serif', fontSi"
src/games/Drift/Drift.jsx,578,500,"btnOutline: { background: 'white', color: '#f068a4', border: '1.5px solid #f068a4', borderRadius: 12, padding: 11, fontFamily: 'DM Sans,sans"
src/games/EbbAndFlow/components/ContinuePrompt.jsx,46,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/games/EbbAndFlow/components/GetReadyScreen.jsx,63,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/games/EbbAndFlow/components/ModeSelector.jsx,74,600,"modeName:   { fontSize: 13, fontWeight: 600, color: 'var(--tx)' },"
src/games/EbbAndFlow/components/PsiAmpButton.jsx,146,700,"fontWeight: 700,"
src/games/EbbAndFlow/components/ResponseScreen.jsx,161,600,"fontSize: 14, fontWeight: 600, color: 'var(--tx)',"
src/games/EbbAndFlow/components/ResponseScreen.jsx,176,700,"sliderVal:   { fontFamily: MONO, fontSize: 13, fontWeight: 700, color: 'var(--pk)' },"
src/games/EbbAndFlow/components/ResponseScreen.jsx,239,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/games/EbbAndFlow/components/SessionFeedback.jsx,91,700,"fontWeight=""700"""
src/games/EbbAndFlow/components/SessionFeedback.jsx,441,700,"fontWeight: 700,"
src/games/EbbAndFlow/components/SessionFeedback.jsx,460,700,"fontWeight: 700,"
src/games/EbbAndFlow/components/SessionStart.jsx,96,700,"fontFamily: MONO, fontSize: 14, fontWeight: 700, letterSpacing: '0.05em',"
src/games/EbbAndFlow/components/SessionSummary.jsx,131,700,"unlockTitle:  { fontFamily: MONO, fontSize: 13, fontWeight: 700, color: 'var(--pk)', margin: '0 0 4px', letterSpacing: 0 },"
src/games/EbbAndFlow/components/SessionSummary.jsx,146,700,"syncVal:   { fontFamily: MONO, fontSize: 16, fontWeight: 700 },"
src/games/EbbAndFlow/components/SessionSummary.jsx,152,700,"fontFamily: MONO, fontSize: 13, fontWeight: 700, letterSpacing: '0.05em',"
src/games/EbbAndFlow/EbbAndFlow.jsx,543,700,"fontFamily: '""Space Mono"", monospace', fontSize: 13, fontWeight: 700,"
src/games/Ember/Ember.jsx,224,400,"h1: { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 30, fontWeight: 400, color: 'var(--tx)', margin: 0, textAlign: 'center' },"
src/games/Ember/Ember.jsx,225,400,"h2: { fontFamily: '""DM Serif Display"",Georgia,serif', fontSize: 22, fontWeight: 400, color: 'var(--tx)', margin: 0, textAlign: 'center' },"
